@relation 'Cereals-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R16-precision6-weka.filters.unsupervised.attribute.Remove-R1-3,13-15-weka.filters.unsupervised.attribute.Remove-R2,6,8-9'

@attribute calories numeric
@attribute fat numeric
@attribute sodium numeric
@attribute fiber numeric
@attribute sugars numeric
@attribute rating numeric

@data
120,5,15,2,8,33.983679
70,1,260,9,5,59.425505
50,0,140,14,0,93.704912
110,2,200,1,8,34.384843
110,2,180,1.5,10,29.509541
110,0,125,1,14,33.174094
130,2,210,2,8,37.038562
90,1,200,4,6,49.120253
90,0,210,5,5,53.313813
120,2,220,0,12,18.042851
110,2,290,2,1,50.764999
120,3,210,0,9,19.823573
110,2,140,2,7,40.400208
110,1,180,0,13,22.736446
110,0,280,0,3,41.445019
100,0,290,1,2,45.863324
110,0,90,1,12,35.782791
110,1,180,0,13,22.396513
110,3,140,4,7,40.448772
100,0,80,1,0,64.533816
110,0,220,1,3,46.895644
100,1,140,2,10,36.176196
100,0,190,1,5,44.330856
110,1,125,1,13,32.207582
110,0,200,1,11,31.435973
100,0,0,3,7,58.345141
120,2,160,5,10,40.917047
120,0,240,5,12,41.015492
110,1,135,0,12,28.025765
100,0,45,0,15,35.252444
110,1,280,0,9,23.804043
100,1,140,3,5,52.076897
110,0,170,3,3,53.371007
120,3,75,3,4,45.811716
120,2,220,1,11,21.871292
110,1,250,1.5,10,31.072217
110,0,180,0,11,28.742414
110,1,170,1,6,36.523683
140,1,170,2,9,36.471512
110,1,260,0,3,39.241114
100,2,150,2,6,45.328074
110,1,180,0,12,26.734515
100,1,0,0,3,54.850917
150,3,95,3,11,37.136863
150,3,150,3,11,34.139765
160,2,150,3,13,30.313351
100,1,220,2,6,40.105965
120,1,190,0,9,29.924285
140,2,220,3,7,40.69232
90,0,170,3,2,59.642837
130,2,170,1.5,10,30.450843
120,1,200,6,14,37.840594
100,0,320,1,3,41.50354
50,0,0,0,0,60.756112
50,0,0,1,0,63.005645
100,1,135,2,6,49.511874
100,2,0,2.7,7.04,50.828392
120,1,210,5,12,39.259197
100,2,140,2.5,8,39.7034
90,0,0,2,6,55.333142
110,0,240,0,2,41.998933
110,0,290,0,3,40.560159
80,0,0,3,0,68.235885
90,0,0,4,0,74.472949
90,0,0,3,0,72.801787
110,1,70,1,15,31.230054
110,0,230,1,3,53.131324
90,0,15,3,5,59.363993
110,1,200,0,3,38.839746
140,1,190,4,14,28.592785
100,1,200,3,3,46.658844
110,1,250,0,3,39.106174
110,1,140,0,12,27.753301
100,1,230,3,3,49.787445
100,1,200,3,3,51.592193
110,1,200,1,8,36.187559
